ID,Titre,Profil,Date_Creation,Entreprise,Type_Contrat,Experience,Qualification,Salaire_Min,Salaire_Max,Salaire_Moyen,Ville,Code_Dept,Region,Secteur,Description
1184569,ALTERNANCE - Ingénieure / Ingénieur Développeur Business Intelligence F/H,Business Intelligence,2026-04-06,,CDI,Non précisé,Manœuvre,,,,Lezennes,59,Hauts-de-France,Non précisé,"
            Votre environnement          Au sein de la Direction COMMERCE vous rejoignez une équipe engagée et solidaire. Une tutrice ou un tuteur vous accompagnera tout au long de votre alternance d’une durée de 36 mois.Vos missionsAu sein d’une équipe de 5 personnes, vous participerez activement au développement et à l'amélioration de nos outils BI, avec un impact direct sur les équipes opérationnelles. Vos missions incluront :- Concevoir, développer et améliorer des applications et dashboard"
1184333,Alternance - Assistant Product Owner Business Intelligence F/H,Business Intelligence,2026-04-06,,CDI,Non précisé,Manœuvre,,,,Nanterre,92,Île-de-France,Non précisé,"
            Au croisement d'enjeux essentiels et captivants, rejoignez un groupe à la dimension internationale, champion de la croissance bas carbone et activement engagé dans la lutte contre le réchauffement climatique ! Rejoindre EDF, c'est également travailler dans un groupe porteur de valeurs fortes, qui innove avec de solides actifs industriels et vous confie des missions riches de sens. Vous avez le goût du service client, un esprit d'équipe et avez envie de relever des défis commerciaux "
1180763,ALTERNANCE - Ingénieure / Ingénieur Développeur Business Intelligence F/H,Business Intelligence,2026-04-05,,CDI,Non précisé,Manœuvre,,,,Lezennes,59,Hauts-de-France,Non précisé,"
            Votre environnement          Au sein de la Direction COMMERCE vous rejoignez une équipe engagée et solidaire. Une tutrice ou un tuteur vous accompagnera tout au long de votre alternance d’une durée de 36 mois.Vos missionsAu sein d’une équipe de 5 personnes, vous participerez activement au développement et à l'amélioration de nos outils BI, avec un impact direct sur les équipes opérationnelles. Vos missions incluront :- Concevoir, développer et améliorer des applications et dashboard"
1180585,Alternance - Assistant Product Owner Business Intelligence F/H,Business Intelligence,2026-04-05,,CDI,Non précisé,Manœuvre,,,,Nanterre,92,Île-de-France,Non précisé,"
            Au croisement d'enjeux essentiels et captivants, rejoignez un groupe à la dimension internationale, champion de la croissance bas carbone et activement engagé dans la lutte contre le réchauffement climatique ! Rejoindre EDF, c'est également travailler dans un groupe porteur de valeurs fortes, qui innove avec de solides actifs industriels et vous confie des missions riches de sens. Vous avez le goût du service client, un esprit d'équipe et avez envie de relever des défis commerciaux "
1148603,ALTERNANCE - Ingénieure / Ingénieur Développeur Business Intelligence F/H,Business Intelligence,2026-04-04,,CDI,Non précisé,Manœuvre,,,,Lezennes,59,Hauts-de-France,Non précisé,"
            Votre environnement          Au sein de la Direction COMMERCE vous rejoignez une équipe engagée et solidaire. Une tutrice ou un tuteur vous accompagnera tout au long de votre alternance d’une durée de 36 mois.Vos missionsAu sein d’une équipe de 5 personnes, vous participerez activement au développement et à l'amélioration de nos outils BI, avec un impact direct sur les équipes opérationnelles. Vos missions incluront :- Concevoir, développer et améliorer des applications et dashboard"
1148350,Alternance - Assistant Product Owner Business Intelligence F/H,Business Intelligence,2026-04-04,,CDI,Non précisé,Manœuvre,,,,Nanterre,92,Île-de-France,Non précisé,"
            Au croisement d'enjeux essentiels et captivants, rejoignez un groupe à la dimension internationale, champion de la croissance bas carbone et activement engagé dans la lutte contre le réchauffement climatique ! Rejoindre EDF, c'est également travailler dans un groupe porteur de valeurs fortes, qui innove avec de solides actifs industriels et vous confie des missions riches de sens. Vous avez le goût du service client, un esprit d'équipe et avez envie de relever des défis commerciaux "
1164781,Sales engineer / business developer (f/h),Business Intelligence,2026-04-04,,CDI,Non précisé,,,,,Non précisé,00,Non précisé,Non précisé,"<p>Notre client, acteur international de r&eacute;f&eacute;rence dans les solutions en b&eacute;ton pour le traitement des eaux, le biogaz et les applications industrielles, recrute dans le cadre du d&eacute;veloppement de ses activit&eacute;s en France un(e) <strong>Sales Engineer / Business Developer</strong> pour d&eacute;velopper le Nord de la France.</p><p></p><p>Rattach&eacute;(e) directement au Directeur Commercial et en lien avec une &eacute;quipe internationale, vous intervenez en total"
1096050,Alternance Développeur Business Intelligence (F/H) (H/F),Business Intelligence,2026-04-03,,CDD,Débutant,,,,,Guipavas,29,Bretagne,Non précisé,"Solide entreprise coopérative attachée à son territoire du Grand Ouest, Laïta a pour mission de valoriser la production laitière de ses éleveurs en proposant des produits sains et de forte notoriété (Paysan Breton, Mamie Nova, Régilaitpour satisfaire ses clients présents dans plus de 110 pays.Intégrer Laïta c'est faire le choix de rejoindre une communauté de plus de  femmes et hommes&nbsp; sincèrement engagés dans leurs missions et qui partagent au quotidien des valeurs de simplicité relationnel"
1093162,Apprenti analyste business intelligence f/h,Business Intelligence,2026-04-03,,CDD,Débutant,,,,,Plessis-Robinson,92,Île-de-France,Non précisé,"<div>MBDA, au coeur de notre défense...
Rejoignez notre groupe, leader européen dans la conception, la fabrication et la commercialisation de missiles et de systèmes d'armes qui répondent aux besoins présents et futurs des armées européennes et alliées ! Auprès de nos 13 000 collaborateurs, venez prendre part à nos projets, en service opérationnel ou en développement, dans un contexte multiculturel favorable à l'innovation et à l'excellence technique !
En 2024, nous comptons parmi les employeurs"
1093675,Business development manager m/f (h/f),Business Intelligence,2026-04-03,,CDI,Non précisé,,,,,Non précisé,00,Non précisé,Non précisé,"<p>Safran est un groupe international de haute technologie opérant dans les domaines de l'aéronautique (propulsion, équipements et intérieurs), de l'espace et de la défense. Sa mission : contribuer durablement à un monde plus sûr, où le transport aérien devient toujours plus respectueux de l'environnement, plus confortable et plus accessible. Implanté sur tous les continents, le Groupe emploie 100 000 collaborateurs pour un chiffre d'affaires de 27,3 milliards d'euros en 2024, et occupe, seul ou"
